round,stadium,home_team,home_score,away_score,away_team,year,pontos
27,Mineirão,Atlético-MG,0.0,0.0,Figueirense,2008,1
28,Palestra Itália,Palmeiras,3.0,1.0,Atlético-MG,2008,0
29,Maracanã,Flamengo,0.0,3.0,Atlético-MG,2008,3
30,Mineirão,Atlético-MG,0.0,2.0,Cruzeiro,2008,0
31,Mineirão,Atlético-MG,2.0,2.0,Internacional,2008,1
32,Couto Pereira,Coritiba,2.0,1.0,Atlético-MG,2008,0
33,Mineirão,Atlético-MG,2.0,1.0,Botafogo,2008,3
34,Barradão,Vitória,0.0,1.0,Atlético-MG,2008,3
35,Mineirão,Atlético-MG,4.0,1.0,Vasco,2008,3
36,Ilha do Retiro,Sport,3.0,0.0,Atlético-MG,2008,0
37,Mineirão,Atlético-MG,0.0,0.0,Santos,2008,1
38,Olímpico,Grêmio,2.0,0.0,Atlético-MG,2008,0
1,Ressacada,Avaí,2.0,2.0,Atlético-MG,2009,1
2,Mineirão,Atlético-MG,2.0,1.0,Grêmio,2009,3
3,Ilha do Retiro,Sport,2.0,3.0,Atlético-MG,2009,3
4,Mineirão,Atlético-MG,0.0,0.0,Santo André,2009,1
5,Ligga Arena,Athletico-PR,0.0,4.0,Atlético-MG,2009,3
6,Mineirão,Atlético-MG,3.0,0.0,Náutico,2009,3
7,Vila Belmiro,Santos,2.0,3.0,Atlético-MG,2009,3
8,Arena Barueri,Barueri,4.0,2.0,Atlético-MG,2009,0
9,Mineirão,Atlético-MG,1.0,1.0,Botafogo,2009,1
10,Mineirão,Cruzeiro,0.0,3.0,Atlético-MG,2009,3
11,Mineirão,Atlético-MG,2.0,0.0,São Paulo,2009,3
12,Barradão,Vitória,0.0,0.0,Atlético-MG,2009,1
13,Mineirão,Atlético-MG,2.0,1.0,Fluminense,2009,3
14,Mineirão,Atlético-MG,0.0,1.0,Goiás,2009,0
15,Maracanã,Flamengo,3.0,1.0,Atlético-MG,2009,0
16,Mineirão,Atlético-MG,3.0,2.0,Coritiba,2009,3
17,Beira-Rio,Internacional,3.0,0.0,Atlético-MG,2009,0
18,Mineirão,Atlético-MG,1.0,1.0,Palmeiras,2009,1
